"","Comparison..group1.group2.","Group","ProteinGroups","AVG.Log2.Ratio","Absolute.AVG.Log2.Ratio","Pvalue","Qvalue","X..of.Ratios","UniProtIds","Genes","ProteinDescriptions","ProteinNames","X..Unique.Total.Peptides","X..Change","Ratio","Condition.Numerator","Condition.Denominator","GO.Cellular.Component","GO.Molecular.Function","GO.Biological.Process","minuslogqval","Color"
"39","TN / DF","P21333","P21333",1.538150879,1.538150879,9.81e-113,1.62e-110,3220,"P21333","FLNA","Filamin-A","FLNA_HUMAN",200,190.4220271,2.904220271,"TN","DF","extracellular region,nucleus,nucleolus,cytoplasm,cytosol,plasma membrane,cell-cell junction,cell-cell adherens junction,focal adhesion,actin cytoskeleton,membrane,cortical cytoskeleton,extracellular matrix,Myb complex,neuronal cell body,dendritic shaft,perinuclear region of cytoplasm,extracellular exosome,apical dendrite,filamentous actin","G-protein coupled receptor binding,glycoprotein binding,signal transducer activity,protein binding,transcription factor binding,Rho GTPase binding,Ral GTPase binding,kinase binding,small GTPase binding,mu-type opioid receptor binding,Fc-gamma receptor I complex binding,protein homodimerization activity,poly(A) RNA binding,SMAD binding,Rac GTPase binding,actin filament binding,GTPase binding,cadherin binding involved in cell-cell adhesion","platelet degranulation,adenylate cyclase-inhibiting dopamine receptor signaling pathway,negative regulation of transcription from RNA polymerase I promoter,platelet activation,regulation of cell migration,actin cytoskeleton reorganization,cell junction assembly,protein localization to cell surface,negative regulation of protein catabolic process,cilium assembly,mRNA transcription from RNA polymerase II promoter,positive regulation of transcription factor import into nucleus,negative regulation of apoptotic process,receptor clustering,positive regulation of I-kappaB kinase/NF-kappaB signaling,negative regulation of sequence-specific DNA binding transcription factor activity,wound healing, spreading of cells,establishment of protein localization,protein stabilization,cytoplasmic sequestering of protein,actin crosslink formation,platelet aggregation,semaphorin-plexin signaling pathway,mitotic spindle assembly,positive regulation of substrate adhesion-dependent cell spreading,positive regulation of integrin-mediated signaling pathway",109.790484985457,"Red"
"40","ERPR / DF","P02751","P02751",2.641607972,2.641607972,8.2e-113,1.79e-110,2016,"P02751","FN1","Fibronectin","FINC_HUMAN",117,524.0267922,6.240267922,"ERPR","DF","extracellular region,fibrinogen complex,basal lamina,extracellular space,endoplasmic reticulum-Golgi intermediate compartment,apical plasma membrane,extracellular matrix,platelet alpha granule lumen,extracellular exosome,blood microparticle","protease binding,integrin binding,protein binding,collagen binding,heparin binding,peptidase activator activity","angiogenesis,regulation of protein phosphorylation,platelet degranulation,acute-phase response,cell-substrate junction assembly,cell adhesion,calcium-independent cell-matrix adhesion,positive regulation of cell proliferation,regulation of cell shape,response to wounding,positive regulation of gene expression,positive regulation of peptidase activity,peptide cross-linking,extracellular matrix disassembly,extracellular matrix organization,integrin activation,substrate adhesion-dependent cell spreading,endodermal cell differentiation,wound healing,positive regulation of axon extension,positive regulation of fibroblast proliferation,leukocyte migration,regulation of ERK1 and ERK2 cascade,positive regulation of substrate-dependent cell migration, cell attachment to substrate,negative regulation of transforming growth factor-beta secretion",109.74714696902,"Red"
"41","TN / DF","Q99715","Q99715",2.375079086,2.375079086,2.18e-112,3.28e-110,1176,"Q99715","COL12A1","Collagen alpha-1(XII) chain","COCA1_HUMAN",92,418.7642588,5.187642588,"TN","DF","extracellular region,collagen type XII trimer,extracellular space,endoplasmic reticulum lumen,extracellular matrix,extracellular exosome,extracellular vesicle","extracellular matrix structural constituent conferring tensile strength","skeletal system development,cell adhesion,collagen fibril organization,collagen catabolic process,endodermal cell differentiation",109.484126156288,"Red"
"42","Meta / DF","P02787","P02787",1.375319134,1.375319134,3.2e-111,6.29e-109,1456,"P02787","TF","Serotransferrin","TRFE_HUMAN",85,159.4252912,2.594252912,"Meta","DF","extracellular region,extracellular space,early endosome,late endosome,clathrin-coated pit,basal plasma membrane,cell surface,endosome membrane,cytoplasmic, membrane-bounded vesicle,apical plasma membrane,endocytic vesicle,extrinsic component of external side of plasma membrane,vesicle,secretory granule lumen,basal part of cell,perinuclear region of cytoplasm,recycling endosome,extracellular exosome,blood microparticle,HFE-transferrin receptor complex","protein binding,ferrous iron binding,ferric iron binding,ferric iron transmembrane transporter activity,transferrin receptor binding","retina homeostasis,platelet degranulation,cellular iron ion homeostasis,regulation of protein stability,transferrin transport,positive regulation of receptor-mediated endocytosis,iron ion homeostasis,cellular response to iron ion,ferrous iron import into cell",108.201349354555,"Red"
"43","ERPR / DF","P78527","P78527",1.812549453,1.812549453,8.16e-111,1.58e-108,3710,"P78527","PRKDC","DNA-dependent protein kinase catalytic subunit","PRKDC_HUMAN",256,251.2624724,3.512624724,"ERPR","DF","nuclear chromosome, telomeric region,nucleoplasm,transcription factor complex,nucleolus,cytosol,DNA-dependent protein kinase-DNA ligase 4 complex,membrane,extracellular matrix,nonhomologous end joining complex","double-stranded DNA binding,protein kinase activity,protein serine/threonine kinase activity,DNA-dependent protein kinase activity,protein binding,ATP binding,transcription factor binding,enzyme binding,poly(A) RNA binding","somitogenesis,negative regulation of protein phosphorylation,B cell lineage commitment,pro-B cell differentiation,T cell lineage commitment,negative regulation of immunoglobulin production,positive regulation of immune system process,double-strand break repair,double-strand break repair via nonhomologous end joining,cellular protein modification process,brain development,heart development,cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage,response to gamma radiation,response to activity,telomere capping,peptidyl-serine phosphorylation,protein destabilization,positive regulation of type I interferon production,cellular response to insulin stimulus,T cell differentiation in thymus,immunoglobulin V(D)J recombination,T cell receptor V(D)J recombination,ectopic germ cell programmed cell death,regulation of circadian rhythm,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of transcription from RNA polymerase II promoter,positive regulation of fibroblast proliferation,rhythmic process,spleen development,thymus development,positive regulation of developmental growth,regulation of smooth muscle cell proliferation,signal transduction involved in mitotic G1 DNA damage checkpoint,double-strand break repair via alternative nonhomologous end joining,negative regulation of cellular senescence,negative regulation of response to gamma radiation",107.801342913046,"Red"
"44","TN / DF","Q15063","Q15063",3.571786172,3.571786172,3.32e-109,4.58e-107,882,"Q15063","POSTN","Periostin","POSTN_HUMAN",48,1089.090135,11.89090135,"TN","DF","proteinaceous extracellular matrix,extracellular space,trans-Golgi network,extracellular matrix,neuromuscular junction","protein binding,heparin binding,metal ion binding,cell adhesion molecule binding","skeletal system development,response to hypoxia,negative regulation of cell-matrix adhesion,regulation of systemic arterial blood pressure,cell adhesion,regulation of Notch signaling pathway,response to mechanical stimulus,response to muscle activity,positive regulation of smooth muscle cell migration,extracellular matrix organization,response to estradiol,cellular response to fibroblast growth factor stimulus,cellular response to vitamin K,cellular response to tumor necrosis factor,cellular response to transforming growth factor beta stimulus,negative regulation of substrate adhesion-dependent cell spreading,positive regulation of chemokine (C-C motif) ligand 2 secretion,neuron projection extension,bone regeneration",106.339134521996,"Red"
"45","Meta / DF","P24821","P24821",4.551792653,4.551792653,9.93e-109,1.75e-106,1162,"P24821","TNC","Tenascin","TENA_HUMAN",72,2245.449695,23.45449695,"Meta","DF","extracellular region,basement membrane,interstitial matrix,extracellular space,focal adhesion,membrane,extracellular matrix","syndecan binding","osteoblast differentiation,cell adhesion,negative regulation of cell adhesion,neuromuscular junction development,positive regulation of cell proliferation,response to wounding,response to mechanical stimulus,positive regulation of gene expression,peripheral nervous system axon regeneration,extracellular matrix organization,wound healing,odontogenesis of dentin-containing tooth,response to ethanol,bud outgrowth involved in lung branching,mesenchymal-epithelial cell signaling involved in prostate gland development,prostate gland epithelium morphogenesis,cellular response to retinoic acid,cellular response to vitamin D,response to fibroblast growth factor,cellular response to prostaglandin D stimulus",105.756961951314,"Red"
"46","ERPR / DF","P02533","P02533",-2.14615656,2.14615656,1.01e-106,1.76e-104,896,"P02533","KRT14","Keratin, type I cytoskeletal 14","K1C14_HUMAN",49,-77.40863355,0.225913664,"ERPR","DF","nucleus,cytoplasm,cytosol,intermediate filament,keratin filament,extracellular exosome,cell periphery","structural constituent of cytoskeleton,protein binding,keratin filament binding","aging,epidermis development,response to zinc ion,response to ionizing radiation,epithelial cell differentiation,hemidesmosome assembly,hair cycle,intermediate filament bundle assembly",103.754487332186,"Blue"
"47","ERPR / DF","P98160","P98160",-1.966631724,1.966631724,4.68e-105,7.43e-103,2268,"P98160","HSPG2","Basement membrane-specific heparan sulfate proteoglycan core protein","PGBM_HUMAN",161,-74.41503303,0.25584967,"ERPR","DF","extracellular region,basement membrane,extracellular space,Golgi lumen,plasma membrane,focal adhesion,extracellular matrix,lysosomal lumen,extracellular exosome","calcium ion binding,protein binding,protein C-terminus binding","retinoid metabolic process,angiogenesis,glycosaminoglycan biosynthetic process,glycosaminoglycan catabolic process,extracellular matrix disassembly,extracellular matrix organization,glycosaminoglycan metabolic process,lipoprotein metabolic process,cellular protein metabolic process",102.129011186239,"Blue"
"48","TP / DF","P78527","P78527",2.12757179,2.12757179,1.17e-103,2.81e-101,3710,"P78527","PRKDC","DNA-dependent protein kinase catalytic subunit","PRKDC_HUMAN",256,336.981375,4.36981375,"TP","DF","nuclear chromosome, telomeric region,nucleoplasm,transcription factor complex,nucleolus,cytosol,DNA-dependent protein kinase-DNA ligase 4 complex,membrane,extracellular matrix,nonhomologous end joining complex","double-stranded DNA binding,protein kinase activity,protein serine/threonine kinase activity,DNA-dependent protein kinase activity,protein binding,ATP binding,transcription factor binding,enzyme binding,poly(A) RNA binding","somitogenesis,negative regulation of protein phosphorylation,B cell lineage commitment,pro-B cell differentiation,T cell lineage commitment,negative regulation of immunoglobulin production,positive regulation of immune system process,double-strand break repair,double-strand break repair via nonhomologous end joining,cellular protein modification process,brain development,heart development,cell proliferation,intrinsic apoptotic signaling pathway in response to DNA damage,response to gamma radiation,response to activity,telomere capping,peptidyl-serine phosphorylation,protein destabilization,positive regulation of type I interferon production,cellular response to insulin stimulus,T cell differentiation in thymus,immunoglobulin V(D)J recombination,T cell receptor V(D)J recombination,ectopic germ cell programmed cell death,regulation of circadian rhythm,positive regulation of apoptotic process,negative regulation of apoptotic process,positive regulation of transcription from RNA polymerase II promoter,positive regulation of fibroblast proliferation,rhythmic process,spleen development,thymus development,positive regulation of developmental growth,regulation of smooth muscle cell proliferation,signal transduction involved in mitotic G1 DNA damage checkpoint,double-strand break repair via alternative nonhomologous end joining,negative regulation of cellular senescence,negative regulation of response to gamma radiation",100.551293680095,"Red"
"49","TP / DF","P02533","P02533",-2.303161448,2.303161448,4.37e-100,9.36e-98,896,"P02533","KRT14","Keratin, type I cytoskeletal 14","K1C14_HUMAN",49,-79.73813958,0.202618604,"TP","DF","nucleus,cytoplasm,cytosol,intermediate filament,keratin filament,extracellular exosome,cell periphery","structural constituent of cytoskeleton,protein binding,keratin filament binding","aging,epidermis development,response to zinc ion,response to ionizing radiation,epithelial cell differentiation,hemidesmosome assembly,hair cycle,intermediate filament bundle assembly",97.0287241512619,"Blue"
